,title,author_name,edition_count,ebook_access,first_publish_year
0,Harry Potter and the Philosopher's Stone,['J. K. Rowling'],398,borrowable,1997.0
1,Harry Potter (series) 1-7,['J. K. Rowling'],16,no_ebook,1999.0
2,Harry Potter and the Order of the Phoenix,['J. K. Rowling'],247,printdisabled,2003.0
3,Harry Potter and the Cursed Child,"['Jack Thorne', 'John Tiffany', 'J. K. Rowling']",35,printdisabled,2001.0
4,Harry Potter,['J. K. Rowling'],2,no_ebook,2001.0
5,Harry Potter 1 und der Stein der Weisen,['J. K. Rowling'],1,no_ebook,2018.0
6,Harry Potter (series) 1-4,['J. K. Rowling'],11,no_ebook,1999.0
7,Harry Potter (series) 1-6,['J. K. Rowling'],4,no_ebook,2005.0
8,Harry Potter 1-3 Box Set,['J. K. Rowling'],2,no_ebook,2019.0
9,Harry Potter 1 und die Kammer des Schreckens. Magisches Tagebuch,['No Author'],1,no_ebook,2002.0
10,Harry Potter (series) 1-5,['J. K. Rowling'],5,no_ebook,2003.0
11,Harry Potter and the Philosopher's Stone [1/2],['J. K. Rowling'],3,printdisabled,1999.0
12,Harry Potter 1- 7 Audio Collection,['J. K. Rowling'],1,no_ebook,2007.0
13,"Harry Potter and the Cursed Child, Parts 1 & 2 and Harry Potter and the Philosopher's Stone 2 Books Bundle Collection","['J. K. Rowling', 'Jack Thorne', 'John Tiffany']",1,no_ebook,2016.0
14,' Harry Potter 1 und der Stein der Weisen'. Kopiervorlagen und Materialien. 5. - 7. Schuljahr,['Katrin Nothdorf'],1,no_ebook,2001.0
15,Harry Potter (series) 1-3,['J. K. Rowling'],5,no_ebook,1999.0
16,Harry Potter 1/4 encapçats,"['J. K. Rowling', 'Laura Escorihuela Martínez']",1,no_ebook,2001.0
17,Harry Potter and the Order of the Phoenix [1/2],['J. K. Rowling'],3,printdisabled,2003.0
18,Harry Potter 1 Harry Potter i kamien filozoficzny,,1,no_ebook,
19,How to Draw Harry Potter 1,['David K.'],1,no_ebook,2017.0
20,How to Draw Harry Potter 1,['David K.'],1,no_ebook,2018.0
21,Harry Potter 1 und der Stein der Weisen. Mit Materialien Modelle für den Literaturunterricht 5-10.,['Karin Comfere'],1,no_ebook,2002.0
22,"1000 Facts and Trivia about Marvel Cinematic Universe, Game of Thrones, Disney, Star Wars, Harry Potter 1",['Nicholas Plazola'],1,no_ebook,2020.0
23,Mugglenet.com's Harry Potter should have died,['Emerson Spartz'],3,printdisabled,2009.0
24,Harry Potter and the Methods of Rationality - Chapters 1-17,['Eliezer Yudkowsky'],1,no_ebook,
25,Harry Potter Hardcover Boxed Set,['J. K. Rowling'],2,no_ebook,2022.0
26,Harry Potter Unofficial Facts Book,['Nevilke Longbotton'],2,no_ebook,2020.0
27,Harry Potter - Magical Mysteries,['Nick Jensen'],1,no_ebook,2018.0
28,"Harry Potter and the Half Blood Prince, Vol. 1",['J. K. Rowling'],1,no_ebook,2005.0
29,"Harry Potter and the Deathly Hallows - Part 1, film poster book",['British Broadcasting Corporation'],1,borrowable,2010.0
30,Harry Potter Malbuch Band1,['B. B. T. Malbuch'],2,no_ebook,2020.0
31,Unofficial Harry Potter Companion Volume 1 : Sorcerer's Stone,"['Alohomora!', 'Chris Rankin']",2,no_ebook,2022.0
32,Obliviate From Harry Potter And The Deathly Hallows Part 1 Sheet,['Alfred Publishing'],1,no_ebook,2011.0
33,Harry Potter Paperback Box Set (Books 1-3),"['J. K. Rowling', 'Mary GrandPré']",1,no_ebook,2023.0
34,Harry Potter Books 1-3 Boxed Set (MinaLima Editions),"['J. K. Rowling', 'Minalima Design']",1,no_ebook,2024.0
35,Harry Potter and the Order of the Phoenix 1/5,['J. K. Rowling'],1,no_ebook,2003.0
36,Harry Potter Malbuch Band1,['B. B. T. Malbuch'],1,no_ebook,2020.0
37,Harry Potter Malbuch Band1,['B. B. T. Malbuch'],1,no_ebook,2020.0
38,Harry Potter Malbuch Band1,['B. B. T. Malbuch'],1,no_ebook,2020.0
39,Harry Potter Coloring Book Volume 1,['P. B. Epublisher'],1,no_ebook,2016.0
40,Harry Potter House Gryffindor Edition Series 1-5 Books Collection Set By J.K. Rowling,['J. K. Rowling'],1,no_ebook,2020.0
41,Harry Potter and the Deathly Hallows [1/4],['J. K. Rowling'],2,printdisabled,2007.0
42,Harry Potter T.1  Harry Potter Và Hòn Ðá Phù Thuy,['J. K. Rowling'],1,no_ebook,2017.0
43,Harry Potter Coloring Book Vol1,['Magic Book'],1,no_ebook,2020.0
44,Harry Potter and the Sorcerer's Stone,['E. Z. Summary Staff'],1,no_ebook,2016.0
45,Harry Potter House Gryffindor Edition Series 1-5 Books Collection Set,['J. K. Rowling'],1,no_ebook,2020.0
46,Harry Potter. Magische Bilder 1.,,1,no_ebook,2001.0
47,Harry Potter. Magische Bilder 1.,,1,no_ebook,2001.0
48,Harry Potter. Das Pop-up- Buch 1,['J. K. Rowling'],1,no_ebook,2001.0
49,Harry Potter LEGO Minifigure Catalog,['Christoph Bartneck'],1,no_ebook,2012.0
50,Harry Potter and the Goblet of Fire [1/4],['J. K. Rowling'],2,printdisabled,2005.0
51,Obliviate From Harry Potter And The Deathly Hallows Part 1 Piano Solo Sheet,['Alexandre Desplat'],1,no_ebook,2011.0
52,Great Harry Potter Guide Characters Encyclopedia Volume 1,['Mutlu Topuz'],1,no_ebook,2020.0
53,Harry Potter Coloring Book Vol. 1 : Coloring Book,['J. C. coloring'],1,no_ebook,2017.0
54,"3 in 1 Dragonball Z ,Doraemon ,Harry Potter Malbuch",['Frank L. Moe'],1,no_ebook,2021.0
55,Dragonball Z-Doraemon-Harry Potter Malbuch 3 In 1,['Theodore S. Hamer'],1,no_ebook,2021.0
56,Selections from the Motion Picture Harry Potter and the Deathly Hallows Part 1,['Alfred Publishing'],1,printdisabled,2011.0
57,Harry Potter Spell Book Vol. 1,['Jessy Mark'],1,no_ebook,2018.0
58,Harry Potter : the Film Vault - Volume 1,['Jody Revenson'],1,no_ebook,2019.0
59,Unofficial Harry Potter Drawing Book,['Chris Brown'],1,no_ebook,2019.0
60,Harry Potter and the Prisoner of Azkaban [1/2],['J. K. Rowling'],1,printdisabled,2000.0
61,Harry Potter Coloring Book Vol. 1-2 : Coloring Book,['J. C. coloring'],1,no_ebook,2017.0
62,Harry Potter and the Chamber of Secrets. 1/2,['J. K. Rowling'],1,no_ebook,2004.0
63,Harry Potter Pocket Kindergarten Sudoku Puzzle Book Volume 1,['Reuben Berry'],1,no_ebook,2016.0
64,Harry Potter Paperback Full Book Set Volumes 1-7,['J. K. Rowling'],1,no_ebook,2023.0
65,Harry Potter Colouring Book 1-4 Books Collection Set,['Warner Brothers'],1,no_ebook,2019.0
66,Harry Potter Series Special Edition Boxed Set (1-7),['J. K. Rowling'],1,no_ebook,2023.0
67,Harry Potter Word Search Secret Code Activity Book 1,['Pyramid Pyramid Puzzles'],1,no_ebook,2017.0
68,Harry Potter and the Secret of Curse Part 1,['Manish Goyal'],1,no_ebook,2018.0
69,Harry Potter and the Methods of Rationality Book 1,['Eliezer Yudkowsky'],1,no_ebook,2015.0
70,Harry Potter et l'ordre du phénix - Volume 1,['J.K. Rowling'],1,no_ebook,2025.0
71,Harry Potter et l'ordre du phénix - Volume 1,['J.K. Rowling'],1,no_ebook,2025.0
72,Harry Potter et la coupe du feu - Volume 1,['J.K. Rowling'],1,no_ebook,2025.0
73,3 in 1 Malbuch Dragonball Z-Doraemon-Harry Potter,['Joanne W. Currin'],1,no_ebook,2021.0
74,3 in 1 Malbuch Dragonball Z-Doraemon-Harry Potter,['Laura C. Tucker'],1,no_ebook,2021.0
75,3 in 1 Malbuch Dragonball Z-Doraemon-Harry Potter,['Tora H. Sawyer'],1,no_ebook,2021.0
76,"Dragonball Z, Doraemon, Harry Potter Malbuch 3 In 1",['Lori B. Lopez'],1,no_ebook,2021.0
77,Harry Potter and the Goblet of Fire [1/2],['J. K. Rowling'],1,printdisabled,2000.0
78,Harry Potter and the philosopher's stone [1/2],['J. K. Rowling'],1,printdisabled,2020.0
79,Harry Potter - Le Livre de Coloriage N° 1 (French Edition),,1,no_ebook,
80,Nearly Impossible Harry Potter Trivia - Book 1 - the Sorcerer's Stone,"['Heather Tustison', 'Alyssa Peters']",1,no_ebook,2022.0
81,"2000 Fun Quizzes, Let's Test Your Harry Potter Knowledge 1",['Braunwyn Juhlin'],1,no_ebook,2020.0
82,Harry Potter et le prince de sang-mêlé - Volume 1,['J.K. Rowling'],1,no_ebook,2025.0
83,Harry Potter et les reliques de la mort - Volume 1,,1,no_ebook,2025.0
84,How to Draw Harry Potter Characters Step by Step,['Jordan Parker'],1,no_ebook,2020.0
85,"Dragonball Z, Doraemon, Harry Potter Malbuch 3 In 1",['Stephen S. Steil'],1,no_ebook,2021.0
86,Unofficial Math Adventures for Harry Potter Fans : Addition and Subtraction,['Amanda Brack'],1,no_ebook,2020.0
87,"Dragonball Z, Doraemon, Harry Potter Malbuch 3 In 1","['Brown, William L.']",1,no_ebook,2021.0
88,Dragonball Z-Doraemon-Harry Potter 3 in 1 Malbuch,['Ralph R. McCain'],1,no_ebook,2021.0
89,"Dragonball Z, Doraemon, Harry Potter Malbuch 3 In 1",['Richard L. Daniel'],1,no_ebook,2021.0
90,Harry Potter Quidditch Match 2-In-1 Double-Sided 1000-Piece Puzzle,['Donald Lemke'],1,no_ebook,2023.0
91,How to Draw Hárry Pótter,['Juliet Wilson'],1,no_ebook,2021.0
92,How to Draw Harry Potter Characters Step by Step Drawing Guide,['Jordan Parker'],1,no_ebook,2020.0
93,Dragonball Z-Doraemon-Harry Potter 2 Malbuch 3 In 1,['Bertha P. Ashmore'],1,no_ebook,2021.0
94,The Pottersaurus,['Eric D. Randall'],1,no_ebook,2007.0
95,Harry Potter/Themes: String Orch:Grade1/2 Easy (Pop Beginning String Orchestra),,1,no_ebook,2002.0
96,Dragonball Z - Doraemon - Harry Potter Malbuch 3 In 1,['Deborah A. Jones'],1,no_ebook,2021.0
97,"Dragonball Z, Doraemon, Harry Potter Malbuch 3 In 1",['Jessica J. Ramos'],1,no_ebook,2021.0
98,3 in 1 Malbuch Dragonball Z-Doraemon-Harry Potter,['Robert K. Dale'],1,no_ebook,2021.0
99,"Dragonball Z, Doraemon, Harry Potter Malbuch 3 In 1",['Margaret K. Walker'],1,no_ebook,2021.0
